[2025-12-26T18:32:37.222198] Starting job words_20251226-183237
▶ Infinite mode started | model=gemma2:2b level=A1 batch=50 ask/call=100
   Press Ctrl+C to stop.

✅ Call #138: got=10 added=0 | batch=46/50
✅ Call #139: got=10 added=1 | batch=47/50
✅ Call #140: got=11 added=0 | batch=47/50
✅ Call #141: got=10 added=0 | batch=47/50
✅ Call #142: got=10 added=0 | batch=47/50
✅ Call #143: got=10 added=0 | batch=47/50
✅ Call #144: got=10 added=0 | batch=47/50
✅ Call #145: got=10 added=0 | batch=47/50
✅ Call #146: got=10 added=0 | batch=47/50
✅ Call #147: got=10 added=0 | batch=47/50
✅ Call #148: got=10 added=0 | batch=47/50
✅ Call #149: got=10 added=0 | batch=47/50
✅ Call #150: got=10 added=0 | batch=47/50
✅ Call #151: got=10 added=0 | batch=47/50
✅ Call #152: got=10 added=0 | batch=47/50
✅ Call #153: got=11 added=0 | batch=47/50
✅ Call #154: got=10 added=0 | batch=47/50
✅ Call #155: got=10 added=0 | batch=47/50
✅ Call #156: got=10 added=0 | batch=47/50
✅ Call #157: got=10 added=0 | batch=47/50
✅ Call #158: got=11 added=0 | batch=47/50
✅ Call #159: got=10 added=0 | batch=47/50
✅ Call #160: got=10 added=0 | batch=47/50
✅ Call #161: got=10 added=1 | batch=48/50
✅ Call #162: got=10 added=0 | batch=48/50
✅ Call #163: got=10 added=0 | batch=48/50
✅ Call #164: got=10 added=0 | batch=48/50
✅ Call #165: got=10 added=0 | batch=48/50
✅ Call #166: got=10 added=2 | batch=50/50
💾 Saved out_french/french_A1_20251226-183916.txt | +50 words | elapsed=325.6s | batch #2
✅ Call #1: got=10 added=10 | batch=10/50
✅ Call #2: got=10 added=4 | batch=14/50
✅ Call #3: got=10 added=2 | batch=16/50
✅ Call #4: got=10 added=1 | batch=17/50
✅ Call #5: got=10 added=2 | batch=19/50
✅ Call #6: got=10 added=0 | batch=19/50
✅ Call #7: got=10 added=1 | batch=20/50
✅ Call #8: got=11 added=1 | batch=21/50
✅ Call #9: got=10 added=1 | batch=22/50
✅ Call #10: got=10 added=3 | batch=25/50
✅ Call #11: got=10 added=1 | batch=26/50
✅ Call #12: got=10 added=0 | batch=26/50
✅ Call #13: got=10 added=2 | batch=28/50
✅ Call #14: got=10 added=2 | batch=30/50
✅ Call #15: got=11 added=0 | batch=30/50
✅ Call #16: got=61 added=20 | batch=50/50
💾 Saved out_french/french_A1_20251226-183952.txt | +50 words | elapsed=35.2s | batch #3
✅ Call #1: got=10 added=10 | batch=10/50
✅ Call #2: got=10 added=4 | batch=14/50
✅ Call #3: got=0 added=0 | batch=14/50

👋 Stopped. Goodbye!
